OrderID,CustomerID,ItemName,Quantity,Price,TotalAmount,OrderTime,Category,PaymentMethod,OrderDay,OrderMonth,CustomerType,OrderStatus,TipAmount,SpecialEvent,OrderChannel,PrepTime(mins),Rating
158,C006,Milkshake,3,60,180,12-09-2025 07:46,Beverage,Cash,Friday,September,Returning,Refunded,100,Festival Offer,Dine-In,13,1
27,C044,Margherita Pizza,4,150,600,17-07-2025 17:24,Main Course,Card,Thursday,July,New,Completed,35,None,Takeaway,29,2
33,C009,Garlic Bread,3,200,600,30-08-2025 14:34,Snack,Card,Saturday,August,Returning,Completed,30,None,Online,26,1
188,C005,Cheese Pizza,1,350,350,24-09-2025 06:35,Main Course,Card,Wednesday,September,Returning,Cancelled,40,None,Takeaway,14,5
156,C021,Spaghetti,1,120,120,25-09-2025 20:46,Main Course,Wallet,Thursday,September,Returning,Completed,100,None,Takeaway,14,3
134,C031,Spring Rolls,4,150,600,07-07-2025 14:56,Snack,Cash,Monday,July,Returning,Completed,95,None,Dine-In,23,4
71,C014,Ice Cream,4,150,600,09-09-2025 20:49,Dessert,Wallet,Tuesday,September,New,Completed,35,None,Dine-In,17,3
161,C018,Spaghetti,2,60,120,04-08-2025 12:39,Main Course,Wallet,Monday,August,Returning,Completed,40,None,Online,7,5
54,C031,Chicken Wings,2,150,300,20-08-2025 11:23,Snack,Card,Wednesday,August,New,Completed,10,None,Online,25,4
186,C033,Cheese Pizza,4,60,240,23-08-2025 14:54,Main Course,UPI,Saturday,August,Returning,Completed,75,None,Takeaway,5,4
76,C048,Nachos,2,120,240,08-08-2025 18:41,Snack,UPI,Friday,August,New,Completed,100,None,Dine-In,6,4
125,C019,Lasagna,2,50,100,08-09-2025 15:51,Main Course,Cash,Monday,September,New,Completed,85,None,Takeaway,14,5
169,C023,Margherita Pizza,2,60,120,28-07-2025 13:26,Main Course,Wallet,Monday,July,Returning,Completed,90,None,Takeaway,16,4
127,C036,Hot Dog,3,90,270,31-07-2025 15:52,Main Course,Card,Thursday,July,New,Completed,75,None,Dine-In,19,4
174,C023,Fish & Chips,3,60,180,12-07-2025 20:33,Main Course,Wallet,Saturday,July,New,Completed,15,Festival Offer,Online,29,5
40,C032,Spaghetti,4,150,600,06-08-2025 11:44,Main Course,UPI,Wednesday,August,New,Completed,45,None,Online,20,5
124,C048,Lasagna,3,120,360,11-09-2025 22:37,Main Course,UPI,Thursday,September,Returning,Completed,0,None,Online,5,3
78,C027,Brownie,1,90,90,24-07-2025 11:28,Dessert,Cash,Thursday,July,New,Completed,0,None,Dine-In,13,5
57,C024,Chicken Wings,1,120,120,26-07-2025 15:39,Snack,Cash,Saturday,July,Returning,Completed,65,None,Dine-In,13,4
119,C040,Grilled Sandwich,1,50,50,08-08-2025 15:10,Snack,Cash,Friday,August,Returning,Completed,10,None,Online,12,1
170,C035,Mojito,4,150,600,11-08-2025 09:06,Beverage,UPI,Monday,August,New,Completed,60,None,Online,18,1
46,C002,Tacos,4,150,600,17-09-2025 15:58,Main Course,Wallet,Wednesday,September,Returning,Completed,60,None,Dine-In,23,4
183,C019,Mojito,3,200,600,23-07-2025 08:20,Beverage,Cash,Wednesday,July,Returning,Completed,80,None,Online,15,4
132,C001,Hot Dog,3,90,270,31-08-2025 17:07,Main Course,UPI,Sunday,August,New,Completed,90,None,Online,23,2
83,C008,Garlic Bread,2,80,160,05-07-2025 12:20,Snack,UPI,Saturday,July,Returning,Completed,20,Festival Offer,Dine-In,14,1
26,C050,Hot Dog,3,100,300,08-09-2025 09:16,Main Course,UPI,Monday,September,New,Completed,90,None,Dine-In,6,3
175,C024,Chicken Burger,1,60,60,12-07-2025 14:04,Main Course,Card,Saturday,July,Returning,Completed,35,None,Dine-In,23,5
10,C022,Cheese Pizza,2,150,300,21-07-2025 12:34,Main Course,Wallet,Monday,July,New,Completed,25,None,Dine-In,16,1
94,C031,Milkshake,2,90,180,30-09-2025 11:10,Beverage,UPI,Tuesday,September,New,Completed,15,None,Takeaway,12,5
196,C048,Lemonade,4,60,240,14-09-2025 10:25,Beverage,Cash,Sunday,September,New,Completed,20,None,Dine-In,8,5
24,C048,Chicken Wings,2,50,100,06-07-2025 17:28,Snack,Wallet,Sunday,July,New,Completed,100,None,Dine-In,12,4
178,C015,Spring Rolls,2,350,700,05-09-2025 10:26,Snack,Cash,Friday,September,New,Completed,70,None,Online,12,5
23,C039,Spaghetti,3,90,270,16-07-2025 15:54,Main Course,UPI,Wednesday,July,Returning,Completed,35,None,Online,5,4
120,C029,Hot Dog,1,120,120,23-07-2025 07:06,Main Course,Wallet,Wednesday,July,New,Refunded,50,None,Dine-In,29,4
162,C003,Chicken Burger,3,120,360,06-09-2025 11:49,Main Course,Card,Saturday,September,Returning,Completed,30,None,Takeaway,25,3
56,C041,Margherita Pizza,1,200,200,11-09-2025 17:33,Main Course,Cash,Thursday,September,New,Completed,100,Promo Day,Online,28,2
43,C036,Hot Dog,3,350,1050,12-07-2025 15:21,Main Course,Wallet,Saturday,July,New,Cancelled,10,None,Online,27,3
31,C048,Veg Pizza,2,250,500,30-07-2025 12:26,Main Course,UPI,Wednesday,July,Returning,Completed,10,Promo Day,Online,12,4
103,C012,Milkshake,3,150,450,14-08-2025 06:38,Beverage,Cash,Thursday,August,New,Completed,65,None,Online,16,3
63,C021,Chicken Wings,3,50,150,15-08-2025 19:32,Snack,Wallet,Friday,August,New,Completed,80,None,Online,30,4
114,C015,Chocolate Cake,4,100,400,03-07-2025 20:49,Dessert,UPI,Thursday,July,New,Completed,65,None,Dine-In,21,2
85,C044,Mojito,4,250,1000,24-08-2025 10:50,Beverage,UPI,Sunday,August,New,Completed,65,None,Dine-In,23,4
1,C050,Nachos,2,60,120,22-08-2025 18:12,Snack,Wallet,Friday,August,New,Completed,70,Promo Day,Dine-In,8,4
6,C026,Burrito,1,100,100,23-08-2025 07:12,Main Course,Cash,Saturday,August,Returning,Completed,0,None,Online,7,2
167,C008,Spaghetti,4,120,480,12-08-2025 07:34,Main Course,Card,Tuesday,August,Returning,Completed,45,None,Dine-In,25,5
153,C016,Ice Cream,3,120,360,21-07-2025 15:16,Dessert,Card,Monday,July,New,Completed,0,None,Dine-In,6,3
58,C045,Hot Dog,3,60,180,10-07-2025 21:19,Main Course,Wallet,Thursday,July,Returning,Completed,50,None,Dine-In,17,5
200,C034,Spring Rolls,4,60,240,01-08-2025 15:10,Snack,Cash,Friday,August,New,Completed,90,Promo Day,Online,20,4
74,C020,Hot Dog,1,50,50,16-09-2025 19:56,Main Course,Wallet,Tuesday,September,New,Completed,95,None,Takeaway,21,5
162,C003,Chicken Burger,3,120,360,28-09-2025 12:45,Main Course,Card,Sunday,September,Returning,Completed,30,None,Dine-In,26,5
5,C020,Brownie,3,350,1050,20-07-2025 14:13,Dessert,Wallet,Sunday,July,New,Completed,75,None,Dine-In,27,2
4,C020,Veg Burger,1,80,80,25-09-2025 10:33,Main Course,Card,Thursday,September,New,Completed,20,None,Online,13,1
109,C013,Lemonade,1,120,120,09-07-2025 19:30,Beverage,Card,Wednesday,July,New,Completed,25,None,Dine-In,9,5
110,C009,Grilled Sandwich,2,120,240,23-08-2025 22:26,Snack,UPI,Saturday,August,New,Cancelled,30,None,Takeaway,13,3
51,C031,Brownie,4,80,320,05-07-2025 15:28,Dessert,UPI,Saturday,July,Returning,Completed,100,None,Takeaway,24,3
95,C035,Spring Rolls,1,250,250,14-07-2025 12:34,Snack,UPI,Monday,July,Returning,Completed,80,Promo Day,Dine-In,30,3
47,C006,Nachos,3,120,360,29-07-2025 19:19,Snack,UPI,Tuesday,July,New,Completed,0,None,Online,19,4
15,C038,Veg Pizza,4,100,400,02-09-2025 21:15,Main Course,Wallet,Tuesday,September,New,Completed,55,None,Takeaway,20,4
73,C016,Tacos,4,90,360,18-09-2025 11:53,Main Course,Wallet,Thursday,September,Returning,Completed,55,None,Online,5,4
115,C020,Paneer Tikka,2,200,400,07-08-2025 06:28,Main Course,Cash,Thursday,August,Returning,Completed,75,None,Online,13,2
177,C037,Spring Rolls,4,50,200,26-09-2025 21:46,Snack,Card,Friday,September,New,Completed,30,Promo Day,Dine-In,29,4
34,C035,Lasagna,3,350,1050,15-08-2025 12:38,Main Course,Wallet,Friday,August,New,Completed,75,None,Takeaway,7,4
64,C043,Paneer Tikka,1,60,60,21-08-2025 17:17,Main Course,Cash,Thursday,August,Returning,Completed,10,None,Dine-In,20,4
142,C013,Hot Dog,2,100,200,03-09-2025 15:21,Main Course,Cash,Wednesday,September,New,Completed,25,None,Dine-In,6,4
77,C040,Paneer Tikka,2,60,120,17-07-2025 08:01,Main Course,Cash,Thursday,July,New,Completed,30,Festival Offer,Online,29,5
95,C035,Spring Rolls,1,250,250,17-07-2025 06:25,Snack,UPI,Thursday,July,Returning,Completed,80,None,Dine-In,5,5
182,C012,Paneer Tikka,2,150,300,23-07-2025 20:58,Main Course,Wallet,Wednesday,July,New,Completed,70,None,Dine-In,26,3
180,C008,Paneer Tikka,3,120,360,16-08-2025 12:05,Main Course,Wallet,Saturday,August,New,Completed,0,None,Takeaway,27,4
200,C034,Spring Rolls,4,60,240,17-08-2025 06:57,Snack,Cash,Sunday,August,New,Completed,90,None,Dine-In,27,1
151,C019,Chicken Wings,1,120,120,04-07-2025 22:04,Snack,UPI,Friday,July,Returning,Completed,65,None,Dine-In,9,5
58,C045,Hot Dog,3,60,180,11-09-2025 15:00,Main Course,Wallet,Thursday,September,Returning,Completed,50,None,Dine-In,8,2
79,C012,Nachos,4,200,800,24-09-2025 20:21,Snack,UPI,Wednesday,September,New,Completed,90,None,Takeaway,5,5
91,C035,Nachos,3,90,270,28-07-2025 13:30,Snack,UPI,Monday,July,New,Completed,40,None,Dine-In,24,4
17,C039,Chocolate Cake,2,120,240,23-09-2025 10:30,Dessert,Card,Tuesday,September,New,Completed,65,None,Dine-In,22,4
67,C020,Hot Dog,4,50,200,22-07-2025 18:32,Main Course,Card,Tuesday,July,New,Completed,80,Promo Day,Dine-In,24,4
15,C038,Veg Pizza,4,100,400,01-08-2025 13:13,Main Course,Wallet,Friday,August,New,Completed,55,Festival Offer,Online,26,5
8,C007,Margherita Pizza,3,90,270,22-07-2025 10:08,Main Course,Cash,Tuesday,July,New,Completed,10,None,Takeaway,12,4
111,C033,Cupcake,1,80,80,09-07-2025 19:32,Dessert,Card,Wednesday,July,New,Completed,55,None,Dine-In,9,5
93,C025,Milkshake,3,120,360,16-09-2025 06:26,Beverage,Wallet,Tuesday,September,New,Completed,40,None,Online,22,3
139,C035,Grilled Sandwich,1,120,120,09-07-2025 08:12,Snack,Wallet,Wednesday,July,Returning,Cancelled,40,Festival Offer,Online,8,4
136,C025,Lasagna,3,120,360,11-07-2025 12:20,Main Course,Cash,Friday,July,Returning,Completed,30,Promo Day,Dine-In,7,1
138,C026,Paneer Tikka,2,50,100,04-07-2025 08:26,Main Course,Cash,Friday,July,New,Completed,45,None,Online,7,4
154,C024,Veg Pizza,2,90,180,09-07-2025 06:00,Main Course,Card,Wednesday,July,New,Completed,45,None,Dine-In,25,4
102,C016,Nachos,1,120,120,27-09-2025 18:31,Snack,UPI,Saturday,September,Returning,Completed,90,Promo Day,Dine-In,7,5
188,C005,Cheese Pizza,1,350,350,27-09-2025 09:47,Main Course,Card,Saturday,September,Returning,Cancelled,40,None,Dine-In,6,4
61,C009,Lasagna,3,200,600,20-08-2025 14:13,Main Course,Wallet,Wednesday,August,Returning,Completed,80,None,Takeaway,9,3
124,C048,Lasagna,3,120,360,28-08-2025 13:48,Main Course,UPI,Thursday,August,Returning,Completed,0,None,Dine-In,10,3
73,C016,Tacos,4,90,360,15-07-2025 11:19,Main Course,Wallet,Tuesday,July,Returning,Completed,55,None,Online,13,3
18,C003,Milkshake,4,90,360,18-09-2025 09:41,Beverage,UPI,Thursday,September,Returning,Completed,70,None,Online,16,3
75,C018,Sushi Roll,4,150,600,09-08-2025 11:29,Main Course,Card,Saturday,August,New,Completed,55,None,Online,9,4
163,C046,Grilled Sandwich,4,150,600,14-09-2025 14:55,Snack,Card,Sunday,September,New,Completed,15,None,Takeaway,24,4
18,C003,Milkshake,4,90,360,01-08-2025 17:59,Beverage,UPI,Friday,August,Returning,Completed,70,None,Online,22,3
141,C013,Veg Pizza,3,150,450,13-09-2025 11:17,Main Course,Cash,Saturday,September,New,Completed,10,Promo Day,Takeaway,5,5
25,C035,Hot Dog,4,80,320,11-09-2025 14:05,Main Course,Card,Thursday,September,New,Completed,25,None,Dine-In,19,2
129,C023,Lemonade,1,100,100,27-08-2025 15:05,Beverage,UPI,Wednesday,August,Returning,Completed,40,Festival Offer,Dine-In,18,4
104,C034,Ice Cream,4,120,480,03-08-2025 10:22,Dessert,Cash,Sunday,August,New,Completed,15,None,Takeaway,16,2
38,C046,Brownie,2,100,200,27-07-2025 20:10,Dessert,Cash,Sunday,July,Returning,Completed,5,None,Online,10,1
190,C024,Milkshake,1,120,120,20-09-2025 15:27,Beverage,UPI,Saturday,September,Returning,Completed,55,None,Online,30,5
42,C016,Hot Dog,2,50,100,23-09-2025 21:24,Main Course,Cash,Tuesday,September,Returning,Completed,10,None,Dine-In,17,4
198,C013,Nachos,2,120,240,23-07-2025 22:14,Snack,UPI,Wednesday,July,New,Completed,60,Promo Day,Dine-In,23,4
133,C001,Ice Cream,4,120,480,20-07-2025 14:22,Dessert,Wallet,Sunday,July,New,Completed,100,None,Online,24,3
130,C031,Margherita Pizza,2,120,240,27-07-2025 14:01,Main Course,Wallet,Sunday,July,New,Completed,85,None,Online,9,3
37,C023,Fish & Chips,2,250,500,11-09-2025 17:02,Main Course,Card,Thursday,September,New,Completed,60,None,Dine-In,16,1
101,C007,Chicken Wings,1,120,120,20-09-2025 20:54,Snack,Wallet,Saturday,September,New,Completed,65,None,Online,23,5
20,C031,Tacos,4,120,480,06-08-2025 18:12,Main Course,Wallet,Wednesday,August,New,Completed,25,None,Takeaway,24,2
140,C026,Burrito,4,350,1400,06-08-2025 06:01,Main Course,Cash,Wednesday,August,New,Completed,40,None,Dine-In,27,5
80,C013,Garlic Bread,3,120,360,10-07-2025 14:32,Snack,UPI,Thursday,July,New,Completed,60,None,Online,17,1
117,C041,Sushi Roll,4,80,320,18-08-2025 14:47,Main Course,Card,Monday,August,New,Completed,30,None,Dine-In,23,3
19,C017,Veg Pizza,4,100,400,01-07-2025 17:02,Main Course,Cash,Tuesday,July,New,Completed,90,None,Dine-In,10,3
130,C031,Margherita Pizza,2,120,240,08-08-2025 18:22,Main Course,Wallet,Friday,August,New,Completed,85,Promo Day,Dine-In,9,4
105,C035,Cupcake,3,200,600,08-08-2025 13:07,Dessert,Card,Friday,August,New,Completed,60,None,Dine-In,22,3
104,C034,Ice Cream,4,120,480,29-09-2025 08:57,Dessert,Cash,Monday,September,New,Completed,15,None,Takeaway,7,3
32,C014,Nachos,4,350,1400,20-08-2025 12:25,Snack,Card,Wednesday,August,New,Refunded,5,Promo Day,Online,5,3
14,C032,Paneer Tikka,1,350,350,22-07-2025 13:33,Main Course,UPI,Tuesday,July,New,Completed,75,None,Dine-In,21,4
149,C007,Sushi Roll,2,150,300,22-08-2025 22:27,Main Course,Cash,Friday,August,New,Completed,75,None,Online,23,4
181,C033,Burrito,3,150,450,11-09-2025 13:45,Main Course,Cash,Thursday,September,New,Refunded,35,Festival Offer,Online,14,4
35,C010,Fish & Chips,1,150,150,09-09-2025 07:55,Main Course,Wallet,Tuesday,September,New,Completed,60,Promo Day,Online,11,1
9,C040,Chocolate Cake,2,50,100,05-09-2025 06:05,Dessert,Wallet,Friday,September,Returning,Completed,90,None,Online,8,4
8,C007,Margherita Pizza,3,90,270,29-08-2025 22:08,Main Course,Cash,Friday,August,New,Completed,10,None,Dine-In,11,4
164,C025,Garlic Bread,2,80,160,29-09-2025 13:14,Snack,Card,Monday,September,New,Completed,25,None,Dine-In,12,4
60,C046,Spring Rolls,3,90,270,23-08-2025 17:05,Snack,Card,Saturday,August,New,Completed,75,None,Online,28,2
148,C011,Nachos,3,90,270,12-09-2025 21:36,Snack,Wallet,Friday,September,New,Completed,55,None,Dine-In,27,2
111,C033,Cupcake,1,80,80,06-07-2025 18:40,Dessert,Card,Sunday,July,New,Completed,55,Promo Day,Online,25,3
112,C009,Sushi Roll,3,120,360,14-08-2025 11:33,Main Course,Card,Thursday,August,Returning,Completed,0,None,Online,12,1
146,C002,Lasagna,3,50,150,05-07-2025 10:29,Main Course,Card,Saturday,July,New,Completed,15,None,Takeaway,5,5
16,C011,Lemonade,1,200,200,03-08-2025 06:08,Beverage,UPI,Sunday,August,New,Completed,40,Promo Day,Dine-In,28,1
88,C030,Cheese Pizza,3,50,150,31-08-2025 21:34,Main Course,Cash,Sunday,August,Returning,Completed,30,None,Online,12,4
7,C039,Garlic Bread,4,120,480,25-08-2025 17:00,Snack,UPI,Monday,August,New,Completed,55,None,Dine-In,9,3
60,C046,Spring Rolls,3,90,270,10-09-2025 10:03,Snack,Card,Wednesday,September,New,Completed,75,None,Takeaway,11,5
49,C041,Tacos,3,150,450,15-09-2025 06:17,Main Course,UPI,Monday,September,Returning,Completed,10,None,Takeaway,26,5
11,C012,Spring Rolls,4,200,800,06-08-2025 18:42,Snack,Wallet,Wednesday,August,New,Completed,65,None,Dine-In,21,5
159,C040,Mojito,4,150,600,01-07-2025 06:38,Beverage,Wallet,Tuesday,July,New,Completed,15,None,Dine-In,14,4
4,C020,Veg Burger,1,80,80,22-08-2025 08:47,Main Course,Card,Friday,August,New,Completed,20,None,Dine-In,30,5
82,C011,Tacos,4,250,1000,01-08-2025 07:16,Main Course,Wallet,Friday,August,Returning,Completed,80,None,Dine-In,16,4
2,C003,Chocolate Cake,1,350,350,15-08-2025 22:33,Dessert,Card,Friday,August,New,Completed,55,None,Dine-In,14,5
197,C047,Hot Dog,3,150,450,24-09-2025 11:01,Main Course,Cash,Wednesday,September,New,Completed,10,None,Takeaway,27,4
173,C044,Cupcake,4,90,360,26-07-2025 17:13,Dessert,Card,Saturday,July,Returning,Completed,80,None,Dine-In,27,3
176,C023,Ice Cream,1,50,50,23-07-2025 20:36,Dessert,UPI,Wednesday,July,New,Completed,65,None,Dine-In,12,4
59,C049,Spring Rolls,4,80,320,20-09-2025 11:03,Snack,Wallet,Saturday,September,Returning,Completed,65,None,Online,13,5
99,C027,Tacos,1,100,100,09-07-2025 10:28,Main Course,UPI,Wednesday,July,New,Completed,0,None,Dine-In,24,5
93,C025,Milkshake,3,120,360,27-08-2025 12:50,Beverage,Wallet,Wednesday,August,New,Completed,40,Festival Offer,Dine-In,23,3
70,C027,Tacos,4,250,1000,28-09-2025 17:02,Main Course,UPI,Sunday,September,Returning,Completed,25,Festival Offer,Takeaway,16,1
45,C026,Sushi Roll,1,80,80,25-09-2025 17:25,Main Course,UPI,Thursday,September,Returning,Completed,65,None,Online,18,3
